country,page,last_edit
Abkhazia,Zurab Achba,802551672
Abkhazia,Garri Aiba,774499188
Abkhazia,Zaur Avidzba,803841397
Abkhazia,Raul Eshba,789818648
Abkhazia,Guram Gabiskiria,785284614
Abkhazia,Zakan Jugelia,798644673
Abkhazia,Zhiuli Shartava,728644481
Abkhazia,Yuri Voronov,788591677
Abkhazia,Zaur Ardzinba,758713659
Abkhazia,Gennadi Berulava,802860970
Abkhazia,Samson Chanba,797469371
Abkhazia,Efrem Eshba,804349394
Abkhazia,Nestor Lakoba,799618550
Abkhazia,Sumbat Saakian,805063877
Abkhazia,Shota Shamatava,718383950
Abkhazia,Bagrat Shinkuba,805775169
Afghanistan,Laghman Province,778690357
Afghanistan,Roqia Abubakr,779839643
Afghanistan,Sitara Achakzai,803055503
Afghanistan,Khadija Ahrari,805920528
Afghanistan,Rahila Bibi Kobra Alamshahi,717743144
Afghanistan,Shahla Ata,787347770
Afghanistan,Salamat Azimi,759405630
Afghanistan,Shukria Barakzai,787258680
Afghanistan,Delbar Nazari,805967589
Afghanistan,Maryam Durani,795223533
Afghanistan,Masuma Esmati-Wardak,779389809
Afghanistan,Frozan Fana,789039267
Afghanistan,Fauzia Gailani,799980094
Afghanistan,Husn Banu Ghazanfar,779389407
Afghanistan,Anarkali Kaur Honaryar,785284556
Afghanistan,Malali Ishaqzai,789818730
Afghanistan,Azra Jafari,802286319
Afghanistan,Gul Haar Jalal,802280148
Afghanistan,Massouda Jalal,800128121
Afghanistan,Seema Jowenda,793950185
Afghanistan,Malalai Joya,723736482
Afghanistan,Fariba Ahmadi Kakar,795919634
Afghanistan,Shinkai Karokhail,775966269
Afghanistan,Zeenat Karzai,800175991
Afghanistan,Fawzia Koofi,755193428
Afghanistan,Zahera Ahmadyar Mawlayee,803018106
Afghanistan,Farida Momand,717733887
Afghanistan,Robina Muqimyar,786203824
Afghanistan,Farkhunda Zahra Naderi,704938340
Afghanistan,Anahita Ratebzad,694519009
Afghanistan,Shah Gul Rezai,797072546
Afghanistan,Zefnoon Safai,716814855
Afghanistan,Nilofar Sakhi,802029007
Afghanistan,Sima Samar,721094337
Afghanistan,Habiba Sarobi,796975361
Afghanistan,Shakiba Hashemi,795276759
Afghanistan,Sahira Sharif,798059926
Afghanistan,Sohaila Sharifi,803706243
Afghanistan,Malalai Shinwari,803775914
Afghanistan,Suhaila Seddiqi,803792380
Afghanistan,Suraya Dalil,803983131
Afghanistan,Toorpekai,795268854
Afghanistan,Qadria Yazdanparast,797048177
Afghanistan,"List of candidates in the Afghan presidential election, 2009",795275238
Afghanistan,Barakzai dynasty,795269744
Afghanistan,Durrani dynasty,804299877
Afghanistan,Ali Shah Durrani,796930327
Afghanistan,Ayub Shah Durrani,797089185
Afghanistan,Mahmud Shah Durrani,800408372
Afghanistan,Shah Shujah Durrani,805924089
Afghanistan,Abdur Rahman Khan,795276004
Afghanistan,Ayub Khan (Emir of Afghanistan),791417213
Afghanistan,Dost Mohammad Khan (Emir of Afghanistan),795282600
Afghanistan,Mohammad Afzal Khan,795275051
Afghanistan,Mohammad Azam Khan,805957551
Afghanistan,Mohammad Yaqub Khan,806216425
Afghanistan,Sher Ali Khan,795278213
Afghanistan,Wazir Akbar Khan,797153892
Afghanistan,Shuja Shah Durrani,795279646
Afghanistan,Ghulam Muhammad Tarzi,805922525
Afghanistan,Wazir Arsala Khan,798873145
Afghanistan,Abdul Qadir (Afghan leader),797157277
Afghanistan,Hafizullah Amin,797156968
Afghanistan,Haji Mohammad Chamkani,802320704
Afghanistan,Abdul Rashid Dostum,803705974
Afghanistan,Abdul Rahim Hatif,795275279
Afghanistan,Inayatullah Khan,804938633
Afghanistan,Habibullāh Kalakāni,795274242
Afghanistan,Babrak Karmal,805772298
Afghanistan,Abdul Ahad Karzai,795287565
Afghanistan,Habibullah Karzai,797155187
Afghanistan,Amanullah Khan,770658277
Afghanistan,Habibullah Khan,718384584
Afghanistan,Mohammed Daoud Khan,796493730
Afghanistan,Ahmad Shah Massoud,792853350
Afghanistan,Mohammad Mohaqiq,801436815
Afghanistan,Sibghatullah Mojaddedi,795276435
Afghanistan,Mohammed Nadir Shah,795285982
Afghanistan,Musahiban,770239277
Afghanistan,Mohammad Najibullah,788520176
Afghanistan,Nasrullah Khan (Afghanistan),788684997
Afghanistan,Abdul Qadir (Afghan communist),718384771
Afghanistan,Burhanuddin Rabbani,795276382
Afghanistan,Mohammed Zahir Shah,795283501
Afghanistan,Nur Muhammad Taraki,796569814
Afghanistan,Soraya Tarzi,796885432
