article_name,country,revision_id,article_quality,population
Template:ZambiaProvincialMinisters,Zambia,235107991,Stub,15473900.0
Gladys Lundwe,Zambia,757566606,Stub,15473900.0
Mwamba Luchembe,Zambia,764848643,Stub,15473900.0
Thandiwe Banda,Zambia,768166426,Start,15473900.0
Sylvester Chisembele,Zambia,776082926,C,15473900.0
Victoria Kalima,Zambia,776530837,Start,15473900.0
Margaret Mwanakatwe,Zambia,779747587,Start,15473900.0
Nkandu Luo,Zambia,779747961,C,15473900.0
Susan Nakazwe,Zambia,779748181,Start,15473900.0
Catherine Namugala,Zambia,779748285,Start,15473900.0
Edith Nawakwi,Zambia,779748522,Start,15473900.0
Joyce Nonde-Simukoko,Zambia,779748628,Start,15473900.0
Gladys Nyirongo,Zambia,779748837,C,15473900.0
Vera Tembo,Zambia,779748931,Start,15473900.0
Ompie Nkumbula-Lieventhal,Zambia,790011468,Stub,15473900.0
Besnat Jere,Zambia,791225634,Stub,15473900.0
Esther Lungu,Zambia,792296625,C,15473900.0
Inonge Wina,Zambia,794006130,Start,15473900.0
Maureen Mwanawasa,Zambia,795820299,Start,15473900.0
First Lady of Zambia,Zambia,796467991,Start,15473900.0
Jean Kapata,Zambia,797469872,Start,15473900.0
Peter Sinkamba,Zambia,799512628,Stub,15473900.0
Gwendoline Konie,Zambia,803304465,Start,15473900.0
Kenneth Kaunda,Zambia,805875783,C,15473900.0
Inonge Mbikusita-Lewanika,Zambia,805993958,Start,15473900.0
Yobert K. Shamapande,Zambia,806345311,C,15473900.0
Bir I of Kanem,Chad,355319463,Stub,13707000.0
Abdullah II of Kanem,Chad,498683267,Stub,13707000.0
Salmama II of Kanem,Chad,565745353,Stub,13707000.0
Kuri I of Kanem,Chad,565745365,Stub,13707000.0
Mohammed I of Kanem,Chad,565745375,Stub,13707000.0
Kuri II of Kanem,Chad,669719757,Stub,13707000.0
Bir II of Kanem,Chad,670893206,Stub,13707000.0
Mahamat Hissene,Chad,693055898,Stub,13707000.0
Othman I,Chad,705432607,Stub,13707000.0
Alphonse Kotiga,Chad,707593108,Stub,13707000.0
Oueddei Kichidemi,Chad,708346649,Start,13707000.0
Dunama I,Chad,710675092,Stub,13707000.0
Ahmad (Kanem-Bornu king),Chad,711388267,Stub,13707000.0
Djibrine Kerallah,Chad,712971263,Stub,13707000.0
Maurice Ngangtar,Chad,712971315,Stub,13707000.0
Idriss Miskine,Chad,712971738,Stub,13707000.0
Laoukein Kourayo Médard,Chad,716886170,Stub,13707000.0
Nadji Madou,Chad,716886788,Stub,13707000.0
Noël Milarew Odingar,Chad,716891799,Start,13707000.0
Yaya Dillo Djérou,Chad,717733209,Stub,13707000.0
Acheikh Ibn-Oumar,Chad,719821590,Start,13707000.0
Quatre Sou Quatre,Chad,720066754,Stub,13707000.0
Ali Gazi,Chad,722563340,Stub,13707000.0
Mahamat Djarma Khatir,Chad,725132042,Stub,13707000.0
Dunama IX Lefiami,Chad,731749611,Stub,13707000.0
Dawud of Kanem,Chad,736550266,Stub,13707000.0
Ahmed Koulamallah,Chad,738855197,Start,13707000.0
Abbo Nassour,Chad,741369486,C,13707000.0
Abdel Kader Baba-Laddé,Chad,742213176,Stub,13707000.0
Hummay,Chad,747271475,Stub,13707000.0
Ngarlejy Yorongar,Chad,751304544,C,13707000.0
Saleh Kezabo,Chad,751380073,Stub,13707000.0
Bourkou Louise Kabo,Chad,757072468,Start,13707000.0
Brahim Koulamallah,Chad,757802238,Stub,13707000.0
Saadie Goukouni Weddeye,Chad,757842614,Start,13707000.0
Mahamoud Adam Béchir,Chad,762579466,Start,13707000.0
Kalthouma Nguembang,Chad,762816132,Stub,13707000.0
Djidingar Dono Ngardoum,Chad,764133533,Stub,13707000.0
Template:ChadPMs,Chad,768123377,Stub,13707000.0
Template:ChadPres,Chad,770535091,Stub,13707000.0
Youssouf Saleh Abbas,Chad,771052289,B,13707000.0
Koibla Djimasta,Chad,774223245,Start,13707000.0
Nassour Guelendouksia Ouaido,Chad,774223248,C,13707000.0
Joseph Brahim Seid,Chad,777478442,Stub,13707000.0
Joseph Yodoyman,Chad,777550078,Start,13707000.0
Antoine Bangui,Chad,782638002,Start,13707000.0
Ibrahim IV of Bornu,Chad,785614014,Stub,13707000.0
Hadjé Halimé,Chad,786449636,C,13707000.0
Youssouf Togoïmi,Chad,787390241,Start,13707000.0
Adoum Younousmi,Chad,787719236,Start,13707000.0
François Tombalbaye,Chad,787738541,C,13707000.0
Ahmat Hassaballah Soubiane,Chad,787910771,Stub,13707000.0
Ahmad Allam-Mi,Chad,787921293,Start,13707000.0
Laotegguelnodji Koumtog,Chad,788009613,Stub,13707000.0
Mahamat Ali Adoum,Chad,788014671,Start,13707000.0
Mahamat Saleh Annadif,Chad,788658822,Start,13707000.0
Mohamed Bechir-Sow,Chad,788827248,Stub,13707000.0
Gontchomé Sahoulba,Chad,788828388,Start,13707000.0
Gabriel Lisette,Chad,788828519,Start,13707000.0
Ali II of Bornu,Chad,788999424,Stub,13707000.0
Arabi El Goni,Chad,789126126,Stub,13707000.0
Dunama Dabbalemi,Chad,789935196,Start,13707000.0
Idris Alooma,Chad,792734868,Start,13707000.0
Mahamat Nouri,Chad,792954115,FA,13707000.0
Idriss Ndele Moussa,Chad,796654025,Start,13707000.0
Mbaydoum Simeon,Chad,796690873,Stub,13707000.0
Ngarindo Milengar,Chad,796700718,Stub,13707000.0
List of Prime Ministers of Chad,Chad,797747674,Start,13707000.0
Idriss Déby,Chad,798286150,B,13707000.0
Saleh Kebzabo,Chad,798626040,C,13707000.0
Moussa Faki,Chad,799043301,C,13707000.0
Template:Chad-politician-stub,Chad,799373925,Stub,13707000.0
Kalzeubet Pahimi Deubet,Chad,799413193,Stub,13707000.0
Haroun Kabadi,Chad,799447895,Start,13707000.0
Nagoum Yamassoum,Chad,799447995,Start,13707000.0
Outel Bono,Chad,799448338,Stub,13707000.0
Ahmat Acyl,Chad,799902492,B,13707000.0
Djimrangar Dadnadji,Chad,800133552,Start,13707000.0
Delwa Kassiré Koumakoye,Chad,801029539,C,13707000.0
Fidèle Moungar,Chad,801192255,C,13707000.0
Jean Alingué Bawoyeu,Chad,801192303,C,13707000.0
Emmanuel Nadingar,Chad,801573576,C,13707000.0
Roger Djikisna,Chad,801583221,Stub,13707000.0
Firmin Djidingar,Chad,801583260,Stub,13707000.0
Idris I of Kanem,Chad,802874918,Stub,13707000.0
Vice President of Chad,Chad,803166509,Stub,13707000.0
Hissène Habré,Chad,803166806,GA,13707000.0
Negue Djogo,Chad,803166989,Start,13707000.0
Wadel Abdelkader Kamougué,Chad,803167152,C,13707000.0
Félix Malloum,Chad,803167336,Start,13707000.0
Lol Mahamat Choua,Chad,803167424,C,13707000.0
Goukouni Oueddei,Chad,803167990,C,13707000.0
Albert Pahimi Padacké,Chad,803433107,C,13707000.0
List of heads of state of Chad,Chad,803812011,Start,13707000.0
Elise Loum,Chad,804773540,Start,13707000.0
Agnes Allafi,Chad,805493169,Start,13707000.0
Christine Georges Diguibaye,Chad,806337653,Stub,13707000.0
Pascal Yoadimnadji,Chad,806508985,C,13707000.0
